ID	Genotype	 1-Hexanal	E-beta-Ocimene	 3(Z)-Hexen-1-ol-acetate 	 Isohexanol	 1-Hexanol	 3(Z)-hexenyl-propanoate	 4(Z)-Hexenyl-butanoate	 2(E)-Hexenyl-butanoate	 n-Hexyl-butanoate	 Hexyl 2-methylbutanoate	 3(Z)-Hexenyl-butanoate	 3(Z)-hexenyl-valerate	 3(Z)-Hexenyl-isovalerate	  Linalooll	 alpha-Duprezianene	TAB	 beta-Elemene	 3(Z)-Hexenylcaproate	 4(E)-Hexenyl-hexanoate	 5-Hexenyl-hexanoate	 (E)-Hex-3-enyl(E)-2-methylbut-2-enoate	 alpha-Terpineol	 sesquiterpeneRT22.7	 sesquiterpeneRT22.8	 sesquiterpeneRT23.0	 3(Z)-Hexen-1-oltrifluoroacetate	 alpha-Farnesene	 sesquiterpeneRT23.8	 Sesquiphellandrene	 sesquiterpenoidRT24.2	Nicotine	 Benzyl-alcohol	 sesquiterpeneRT27.3
27B	27B	35202	506774	109287	87119	56338	254165	950222	75324	55887	38882	1988448	2230758	145044	126673	296678	163036	3000	1905221	1241631	94090	1940073	603143	7733	14366	12053	529396	14088	4999	3682	6010	30716460	769884	1096218
15A	15A	44110	32424	18257	12162	15637	7496		69531	15631		70109	62646	3267	8803	26924	7516	3000	13485		18160	23091	34532	3000	3000	3000	3000	4459	3000	3000	6052	62602	2326976	101741
62B	62B	36637	204905	157969	68710	86993	294505	1555183	114224	52448	23710	1828236	1457417	95289	63711	199790	37343	3000	966822	238280	29216	515960	304418	3000	6067	3000	126582	8019	3010	3000	6067	10034084	2385552	712852
26A	26A	78873	626162	192967	84604	76361	498560	2390188	294325	135585	65724	3051182	2275895	146115	6010	137624	54310	3000	949908	729656	61360	1116983	516665	3578	11737	11084	364983	37453	3000	3000	6076	3943232	1390819	367440
54B	54B	279027	362710	63328	44664	38263	144215	886431	104978	48124	37513	1310356	1420474	119142	70817	154051	54757	3000	1288447	551401	35832	979555	657810	3000	3000	3000	281331	32122	3000	3000	6085	21440878	1120775	631825
67A	67A	31157	675385	176237	125447	85483	461278	2250172	141694	97607	44673	3703616	2928775	237943	89993	311431	116031	3000	1873457	679520	71522	1470707	886244	3362	21293	18529	426247	37934	7264	6649	6156	6568594	1475589	1096817
130B	130B	29062	680336	49720	40726	51863	180600	879604	84129	70803	35847	2447021	1736292	181811	9515	65928	127153	3958	1207994	847552	50980	1893890	1060895	4247	23340	20675	534709	34002	5206	5653	6158	23284903	863143	331742
Az2A	Az2A	65029	606082	357535	68883	102877	850553	3788455	250530	227999	122101	9128945	8649276	233348	56087	256069	53234	3000	2779393	1218463	108121	2303416	264890	3268	18490	14438	967053	88828	3000	4446	6205	6783184	1952849	797974
137A	137A	40788	600975	112642	231415	134732	519465	3509081	311412	113719	116809	2920407	3790559	347374	431038	579757	75196	4296	3757098	1969504	77385	2682894	1485779	6173	31222	11415	613674	9555	7123	3158	6336	30109685	1630624	1587915
99A	99A	71310	451609	169803	120245	108463	502347	2901421	193610	129781	75115	4946777	3904627	160618	5044	153301	16188	3000	1671167	497462	62430	1018086	250716	3000	5335	3000	425867	14421	3000	5579	6353	6360443	2521724	345906
74A	74A	37478	416110	314578	106518	81344	694227	2961378	171091	191336	57267	10284456	4302077	220056	6752	404542	50897	3000	2366987	883484	106479	1740345	270782	3212	14872	15355	1098924	50770	3937	4776	6361	4725166	1804118	1189895
48A	48A	76943	42183	91346	18420	39052	392849	1442494	223897	83049	50677	1777735	2209400	110788	10189	49566	13128	3000	1241579	1145548	62447	1488111	229976	3000	5750	3000	429231	57809	3000	3000	6373	6352149	3227577	367285
79B	79B	45708	18910	47828	24656	38137	82047	653096	60425	18491	9411	479366	432045	31618	12416	62325	68799	3000	248415	69016	13073	164239	77359	3000	5231	5231	25114	3000	3000	3205	6392	12337175	2990507	213148
83A	83A	44785	366237	127174	141131	91358	481458	3503435	222877	94966	94202	2262409	3324676	180256	132542	232021	161272	3000	1679109	1199111	40553	1769635	707648	4568	23072	18463	498391	15584	3000	4696	6528	10708662	2426244	598258
68B	68B	43799	899234	161341	91528	58351	419309	1697688	119658	93587	68617	3415401	3085846	218153	89661	747539	143221	7171	2197955	1028383	65308	2362216	691946	3753	22942	20822	539113	134660	6901	6457	6554	20559589	1370889	1812353
